,监测点编码,城市
1329,2546A,广安
1330,2547A,广安
1331,2548A,达州
1332,2549A,达州
1333,2550A,达州
1334,2551A,达州
1335,2552A,达州
1336,2553A,雅安
1337,2554A,雅安
1338,2555A,雅安
1339,2556A,雅安
1340,2557A,巴中
1341,2558A,巴中
1342,2559A,巴中
1343,2560A,巴中
1344,2561A,资阳
1345,2562A,资阳
1346,2563A,资阳
1347,2564A,资阳
1348,2565A,资阳
1349,2566A,阿坝藏族羌族自治州
1350,2567A,阿坝藏族羌族自治州
1351,2568A,阿坝藏族羌族自治州
1352,2569A,甘孜州
1353,2570A,甘孜藏族自治州
1354,2571A,凉山彝族自治州
1355,2572A,凉山彝族自治州
1356,2573A,凉山彝族自治州
1357,2574A,凉山彝族自治州
1358,2575A,凉山彝族自治州
1359,2576A,六盘水
1360,2577A,六盘水
1361,2578A,六盘水
1362,2579A,六盘水
1363,2580A,六盘水
1364,2581A,安顺
1365,2582A,安顺
1366,2583A,安顺
1367,2584A,安顺
1368,2585A,铜仁地区
1369,2586A,铜仁地区
1370,2587A,毕节
1371,2588A,毕节
1372,2589A,黔西南布依族苗族自治州
1373,2590A,黔西南布依族苗族自治州
1374,2591A,黔东南苗族侗族自治州
1375,2592A,黔东南州
1376,2593A,黔南布依族苗族自治州
1377,2594A,保山
1378,2595A,保山
1379,2596A,昭通
1380,2597A,昭通
1381,2598A,丽江
1382,2599A,丽江
1383,2600A,丽江
1384,2601A,普洱
1385,2602A,普洱
1386,2603A,临沧
1387,2604A,临沧
1388,2605A,楚雄州
1389,2606A,楚雄州
1390,2607A,红河州
1391,2608A,红河州
1392,2609A,红河州
1393,2610A,文山州
1394,2611A,文山州
1395,2612A,西双版纳州
1396,2613A,西双版纳州
1397,2614A,大理州
1398,2615A,大理州
1399,2616A,德宏州
1400,2617A,德宏州
1401,2618A,怒江州
1402,2619A,怒江州
1403,2620A,迪庆州
1404,2621A,迪庆州
1405,2622A,昌都
1406,2623A,昌都
1407,2624A,山南
1408,2625A,山南
1409,2626A,日喀则
1410,2627A,日喀则
1411,2628A,那曲地区
1412,2629A,那曲
1413,2630A,阿里地区
1414,2631A,阿里地区
1415,2632A,林芝
1416,2633A,林芝
1417,2634A,汉中
1418,2635A,汉中
1419,2636A,汉中
1420,2637A,汉中
1421,2638A,榆林
1422,2639A,榆林
1423,2640A,榆林
1424,2641A,榆林
1425,2642A,安康
1426,2643A,安康
1427,2644A,安康
1428,2645A,商洛
1429,2646A,商洛
1430,2647A,白银
1431,2648A,白银
1432,2649A,天水
1433,2650A,天水
1434,2651A,天水
1435,2652A,武威
1436,2653A,武威
1437,2654A,张掖
1438,2655A,张掖
1439,2656A,平凉
1440,2657A,平凉
1441,2658A,酒泉
1442,2659A,酒泉
1443,2660A,庆阳
1444,2661A,庆阳
1445,2662A,庆阳
1446,2663A,定西
1447,2664A,定西
1448,2665A,陇南
1449,2666A,陇南
1450,2667A,临夏回族自治州
1451,2668A,临夏回族自治州
1452,2669A,甘南州
1453,2670A,海东地区
1454,2671A,海北藏族自治州
1455,2672A,黄南藏族自治州
1456,2673A,海南藏族自治州
1457,2674A,果洛藏族自治州
1458,2675A,玉树藏族自治州
1459,2676A,海西蒙古族藏族自治州
1460,2677A,吴忠
1461,2678A,吴忠
1462,2679A,吴忠
1463,2680A,中卫
1464,2681A,中卫
1465,2682A,中卫
1466,2683A,固原
1467,2684A,固原
1468,2685A,固原
1469,2686A,吐鲁番地区
1470,2687A,吐鲁番地区
1471,2688A,哈密地区
1472,2689A,哈密地区
1473,2690A,昌吉州
1474,2691A,昌吉州
1475,2692A,昌吉州
1476,2693A,博尔塔拉蒙古自治州
1477,2694A,博尔塔拉蒙古自治州
1478,2695A,阿克苏地区
1479,2696A,阿克苏地区
1480,2697A,克孜勒苏柯尔克孜自治州
1481,2698A,喀什地区
1482,2699A,喀什地区
1483,2700A,喀什地区
1484,2701A,和田地区
1485,2702A,和田地区
1486,2703A,伊犁哈萨克州
1487,2704A,伊犁哈萨克州
1488,2705A,伊犁哈萨克州
1489,2706A,塔城地区
1490,2707A,阿勒泰地区
1491,2708A,阿勒泰地区
1492,2709A,石河子
1493,2710A,石河子
1494,2711A,五家渠
1495,2835A,攀枝花
1496,2842A,厦门
1497,2845A,长治
1498,2846A,广州
1499,2858A,天津
1500,2859A,天津
1501,2860A,天津
1502,2862A,石家庄
1503,2865A,晋中
1504,2866A,运城
1505,2867A,吕梁
1506,2868A,吉林
1507,2869A,扬州
1508,2870A,镇江
1509,2871A,宁波
1510,2872A,嘉兴
1511,2873A,湖州
1512,2874A,淮南
1513,2875A,阜阳
1514,2876A,潍坊
1515,2877A,潍坊
1516,2878A,聊城
1517,2880A,成都
1518,2881A,黔东南苗族侗族自治州
1519,2882A,玉溪
1520,2883A,玉溪
1521,2884A,嘉峪关
1522,2885A,陇南
1523,2894A,淮南
1524,2897A,沈阳
1525,2900A,沈阳
1526,2902A,广安
1527,2907A,湖州
1528,2914A,巴中
1529,2915A,巴中
1530,2916A,池州
1531,2919A,廊坊
1532,2920A,漳州
1533,2921A,绍兴
1534,2922A,天津
1535,2923A,大同
1536,2924A,银川
1537,2925A,银川
1538,2926A,银川
1539,2929A,黄冈
1540,2994A,金华
1541,2996A,宿迁
1542,2997A,泰州
1543,2998A,连云港
1544,2999A,连云港
1545,3000A,连云港
1546,3002A,常州
1547,3003A,常州
1548,3004A,盐城
1549,3005A,徐州
1550,3006A,徐州
1551,3007A,连云港
1552,3008A,连云港
1553,3009A,连云港
1554,3010A,常州
1555,3012A,荆门
1556,3014A,重庆
1557,3015A,重庆
1558,3016A,重庆
1559,3018A,临汾
1560,3019A,三沙
1561,3020A,天津
1562,3021A,濮阳
1563,3022A,洛阳
1564,3025A,清远
1565,3026A,潮州
1566,3027A,自贡
1567,3028A,自贡
1568,3033A,乌鲁木齐
1569,3034A,乌兰察布
1570,3035A,兴安盟
1571,3036A,东营
1572,3038A,红河州
1573,3039A,三门峡
1574,3045A,商洛
1575,3046A,南昌
1576,3048A,福州
1577,3051A,天津
1578,3054A,新乡
1579,3055A,西宁
1580,3057A,烟台
1581,3058A,赤峰
1582,3059A,济南
1583,3061A,呼伦贝尔
1584,3064A,济南
1585,3065A,甘孜藏族自治州
1586,3066A,德州
1587,3109A,赣州
1588,3122A,安顺
1589,3123A,安顺
1590,3124A,安顺
1591,3125A,安顺
1592,3128A,那曲地区
1593,3129A,海东地区
1594,3131A,张家口
1595,3132A,秦皇岛
1596,3133A,重庆
1597,3134A,许昌
1598,3136A,成都
1599,3137A,眉山
1600,3138A,常德
1601,3139A,常德
1602,3140A,常德
1603,3141A,安阳
1604,3147A,开封
1605,3148A,眉山
1606,3149A,黄石
1607,3151A,宜春
1608,3153A,武汉
1609,3164A,扬州
1610,3165A,咸阳
1611,3169A,焦作
1612,3170A,金昌
1613,3171A,商丘
1614,3173A,安庆
1615,3178A,潍坊
1616,3179A,昆明
1617,3180A,迪庆州
1618,3182A,巴中
1619,3183A,巴中
1620,3184A,哈尔滨
1621,3185A,太原
1622,3186A,兰州
1623,3187A,宿州
1624,3188A,衡水
1625,3190A,九江
1626,3191A,宿迁
1627,3192A,阿里地区
1628,3194A,荆州
1629,3195A,扬州
1630,3200A,聊城
1631,3201A,武威
1632,3204A,平顶山
1633,3206A,新余
1634,3207A,滁州
1635,3208A,忻州
1636,3209A,宁德
1637,3210A,开封
1638,3216A,漳州
1639,3237A,池州
1640,3238A,芜湖
1641,3239A,辽源
1642,3241A,兰州
1643,3242A,兰州
1644,3245A,兰州新区
1645,3246A,兰州新区
1646,3247A,陇南
1647,3248A,嘉峪关
1648,3265A,上海
1649,3266A,上海
1650,3268A,上海
1651,3269A,上海
1652,3270A,上海
1653,3271A,上海
1654,3272A,上海
1655,3273A,上海
1656,3274A,上海
1657,3281A,北京
1658,3282A,大同
1659,3283A,包头
1660,3284A,乌海
1661,3285A,乌兰察布
1662,3286A,赤峰
1663,3287A,镇江
1664,3288A,徐州
1665,3289A,苏州
1666,3290A,苏州
1667,3291A,南通
1668,3293A,盐城
1669,3294A,扬州
1670,3295A,泰州
1671,3298A,广州
1672,3299A,广州
1673,3300A,广州
1674,3301A,广州
1675,3302A,广州
1676,3303A,广州
1677,3304A,广州
1678,3305A,深圳
1679,3306A,深圳
1680,3307A,深圳
1681,3308A,珠海
1682,3311A,江门
1683,3313A,肇庆
1684,3314A,惠州
1685,3315A,梅州
1686,3317A,阳江
1687,3318A,清远
1688,3319A,东莞
1689,3320A,揭阳
1690,3323A,张家口
1691,3324A,沧州
1692,3325A,天津
1693,3326A,天津
1694,3327A,天津
1695,3328A,芜湖
1696,3329A,淮南
1697,3330A,淮北
1698,3331A,滁州
1699,3332A,亳州
1700,3333A,池州
1701,3334A,池州
1702,3335A,焦作
1703,3336A,焦作
1704,3337A,许昌
1705,3338A,许昌
1706,3339A,驻马店
1707,3340A,洛阳
1708,3341A,洛阳
1709,3342A,伊春
1710,3343A,伊春
1711,3344A,伊春
1712,3345A,七台河
1713,3346A,重庆
1714,3347A,重庆
1715,3348A,重庆
1716,3349A,重庆
1717,3350A,重庆
1718,3351A,重庆
1719,3352A,重庆
1720,3353A,重庆
1721,3354A,重庆
1722,3355A,重庆
1723,3356A,重庆
1724,3357A,成都
1725,3358A,成都
1726,3359A,成都
1727,3360A,自贡
1728,3361A,乐山
1729,3362A,青岛
1730,3363A,淄博
1731,3364A,枣庄
1732,3365A,东营
1733,3366A,烟台
1734,3368A,潍坊
1735,3369A,临沂
1736,3370A,临沂
1737,3371A,德州
1738,3372A,德州
1739,3374A,菏泽
1740,3375A,昆明
1741,3376A,曲靖
1742,3377A,曲靖
1743,3378A,营口
1744,3379A,营口
1745,3380A,甘南州
1746,3396A,襄阳
1747,3397A,襄阳
1748,3398A,黄冈
1749,3399A,衡阳
1750,3400A,北海
1751,3401A,南宁
1752,3402A,柳州
1753,3403A,桂林
1754,3404A,钦州
1755,3405A,贵港
1756,3406A,百色
1757,3407A,嘉兴
1758,3408A,绍兴
1759,3409A,绍兴
1760,3410A,绍兴
1761,3411A,绍兴
1762,3413A,上饶
1763,3414A,赣江新区
1764,3415A,宜春
1765,3416A,潍坊
1766,3417A,北京
1767,3418A,北京
1768,3419A,包头
1769,3421A,乌兰察布
1770,3422A,南京
1771,3423A,南京
1772,3424A,南京
1773,3425A,苏州
1774,3426A,淮安
1775,3427A,南京
1776,3428A,无锡
1777,3429A,常州
1778,3430A,常州
1779,3431A,苏州
1780,3432A,南通
1781,3434A,连云港
1782,3435A,泰州
1783,3436A,盐城
1784,3437A,乌鲁木齐
1785,3438A,乌鲁木齐
1786,3439A,乌鲁木齐
1787,3440A,乌鲁木齐
1788,3441A,五家渠
1789,3442A,石河子
1790,3443A,广州
1791,3444A,汕头
1792,3445A,广州
1793,3446A,广州
1794,3447A,深圳
1795,3448A,珠海
1796,3449A,江门
1797,3450A,茂名
1798,3451A,肇庆
1799,3452A,惠州
1800,3453A,阳江
1801,3454A,中山
1802,3455A,清远
1803,3456A,石家庄
1804,3457A,唐山
1805,3458A,邯郸
1806,3459A,衡水
1807,3460A,天津
1808,3461A,天津
1809,3462A,天津
1810,3463A,宿州
1811,3464A,合肥
1812,3465A,芜湖
1813,3466A,芜湖
1814,3468A,阜阳
1815,3469A,阜阳
1816,3470A,宣城
1817,3471A,郑州
1818,3473A,开封
1819,3474A,鹤壁
1820,3475A,新乡
1821,3476A,新乡
1822,3477A,焦作
1823,3478A,漯河
1824,3479A,漯河
1825,3480A,伊春
1826,3481A,大庆
1827,3482A,重庆
1828,3483A,重庆
1829,3484A,重庆
1830,3485A,重庆
1831,3486A,四平
1832,3487A,成都
1833,3488A,成都
1834,3489A,成都
1835,3490A,泸州
1836,3491A,绵阳
1837,3492A,绵阳
1838,3494A,济南
1839,3495A,济南
1840,3496A,临沂
1841,3498A,东营
1842,3500A,济宁
1843,3501A,济宁
1844,3502A,泰安
1845,3503A,泰安
1846,3504A,泰安
1847,3505A,威海
1848,3507A,日照
1849,3511A,德州
1850,3512A,聊城
1851,3513A,聊城
1852,3514A,滨州
1853,3515A,滨州
1854,3516A,滨州
1855,3520A,石嘴山
1856,3521A,石嘴山
1857,3522A,固原
1858,3523A,银川
1859,3524A,西安
1860,3525A,咸阳
1861,3526A,福州
1862,3527A,厦门
1863,3528A,厦门
1864,3529A,泉州
1865,3530A,漳州
1866,3531A,桂林
1867,3532A,玉林
1868,3533A,玉林
1869,3534A,贺州
1870,3535A,来宾
1871,3536A,遵义
1872,3537A,毕节
1873,3538A,黔南布依族苗族自治州
1874,3539A,海口
1875,3540A,三亚
1876,3541A,儋州
1877,3542A,儋州
1878,3543A,三沙
1879,3544A,上海
1880,3545A,十堰
1881,3546A,宜昌
1882,3547A,荆门
1883,3548A,荆州
1884,3549A,恩施土家族苗族自治州
1885,3550A,昆明
1886,3551A,昆明
1887,3552A,昆明
1888,3557A,杭州
1889,3558A,杭州
1890,3560A,绍兴
1891,3561A,温州
1892,3562A,湖州
1893,3564A,台州
1894,3565A,大同
1895,3566A,大同
1896,3567A,大同
1897,3568A,长治
1898,3569A,长治
1899,3570A,长治
1900,3571A,朔州
1901,3572A,石家庄
1902,3573A,石家庄
1903,3574A,石家庄
1904,3575A,唐山
1905,3576A,唐山
1906,3577A,唐山
1907,3578A,唐山
1908,3579A,邯郸
1909,3580A,邯郸
1910,3581A,保定
1911,3582A,保定
1912,3583A,保定
1913,3584A,雄安新区
1914,3585A,雄安新区
1915,3586A,雄安新区
1916,3587A,雄安新区
1917,3588A,雄安新区
1918,3589A,雄安新区
1919,3590A,郑州
1920,3591A,郑州
1921,3592A,开封
1922,3593A,洛阳
1923,3594A,平顶山
1924,3596A,鹤壁
1925,3597A,许昌
1926,3598A,三门峡
1927,3599A,重庆
1928,3600A,重庆
1929,3601A,重庆
1930,3604A,日照
1931,3605A,西安
1932,3606A,西咸新区
1933,3607A,西咸新区
1934,3608A,西咸新区
1935,3610A,重庆
1936,3612A,克拉玛依
1937,3613A,昌吉州
1938,3614A,和田地区
1939,3615A,和田地区
1940,3616A,巴中
1941,3617A,广元
1942,3618A,太原
1943,3619A,阳泉
1944,3620A,晋城
1945,3621A,乌海
1946,3622A,韶关
1947,3623A,深圳
1948,3624A,汕头
1949,3625A,佛山
1950,3626A,东莞
1951,3627A,东莞
1952,3628A,云浮
1953,3629A,西宁
1954,3630A,西宁
1955,3631A,石家庄
1956,3633A,马鞍山
1957,3634A,宿州
1958,3635A,洛阳
1959,3636A,洛阳
1960,3637A,七台河
1961,3638A,自贡
1962,3639A,德阳
1963,3642A,青岛
1964,3643A,青岛
1965,3644A,淄博
1966,3645A,淄博
1967,3646A,东营
1968,3647A,菏泽
1969,3648A,吴忠
1970,3650A,中卫
1971,3651A,铜川
1972,3652A,延安
1973,3653A,宜昌
1974,3654A,鄂州
1975,3655A,咸宁
1976,3656A,杭州
1977,3658A,绍兴
1978,3659A,金华
1979,3661A,太原
1980,3662A,齐齐哈尔
1981,3663A,大兴安岭地区
1982,3664A,连云港
1983,3665A,克孜勒苏柯尔克孜自治州
1984,3667A,运城
1985,3668A,临汾
1986,3669A,安阳
1987,3670A,运城
1988,3671A,北京
1989,3672A,北京
1990,3673A,北京
1991,3674A,北京
1992,3675A,北京
1993,3676A,大同
1994,3677A,德宏州
1995,3678A,济宁
1996,3682A,济南
1997,3683A,包头
1998,3684A,七台河
1999,3685A,上饶
2000,3689A,新乡
2001,3690A,南昌
2002,3692A,唐山
2003,3693A,唐山
2004,3694A,北京
2005,3695A,北京
2006,3696A,北京
2007,3697A,北京
2008,3698A,呼和浩特
2009,3699A,呼和浩特
2010,3700A,雅安
2011,3701A,宿州
2012,3703A,安阳
2013,3706A,通辽
2014,3707A,鸡西
2015,3708A,通辽
2016,3709A,鸡西
2017,3710A,宁波
2018,3713A,四平
2019,3715A,蚌埠
2020,3719A,昌都
2021,3726A,日喀则
2022,3728A,宜宾
2023,3734A,东营
