监测点编码,城市
3287A,镇江
3288A,徐州
3289A,苏州
3290A,苏州
3291A,南通
3293A,盐城
3294A,扬州
3295A,泰州
3298A,广州
3299A,广州
3300A,广州
3301A,广州
3302A,广州
3303A,广州
3304A,广州
3305A,深圳
3306A,深圳
3307A,深圳
3308A,珠海
3311A,江门
3313A,肇庆
3314A,惠州
3315A,梅州
3317A,阳江
3318A,清远
3319A,东莞
3320A,揭阳
3323A,张家口
3324A,沧州
3325A,天津
3326A,天津
3327A,天津
3328A,芜湖
3329A,淮南
3330A,淮北
3331A,滁州
3332A,亳州
3333A,池州
3334A,池州
3335A,焦作
3336A,焦作
3337A,许昌
3338A,许昌
3339A,驻马店
3340A,洛阳
3341A,洛阳
3342A,伊春
3343A,伊春
3344A,伊春
3345A,七台河
3346A,重庆
3347A,重庆
3348A,重庆
3349A,重庆
3350A,重庆
3351A,重庆
3352A,重庆
3353A,重庆
3354A,重庆
3355A,重庆
3356A,重庆
3357A,成都
3358A,成都
3359A,成都
3360A,自贡
3361A,乐山
3362A,青岛
3363A,淄博
3364A,枣庄
3365A,东营
3366A,烟台
3368A,潍坊
3369A,临沂
3370A,临沂
3371A,德州
3372A,德州
3374A,菏泽
3375A,昆明
3376A,曲靖
3377A,曲靖
3378A,营口
3379A,营口
3380A,甘南州
3396A,襄阳
3397A,襄阳
3398A,黄冈
3399A,衡阳
3400A,北海
3401A,南宁
3402A,柳州
3403A,桂林
3404A,钦州
3405A,贵港
3406A,百色
3407A,嘉兴
3408A,绍兴
3409A,绍兴
3410A,绍兴
3411A,绍兴
3413A,上饶
3414A,赣江新区
3415A,宜春
3416A,潍坊
3417A,北京
3418A,北京
3419A,包头
3421A,乌兰察布
3422A,南京
3423A,南京
3424A,南京
3425A,苏州
3426A,淮安
3427A,南京
3428A,无锡
3429A,常州
3430A,常州
3431A,苏州
3432A,南通
3434A,连云港
3435A,泰州
3436A,盐城
3437A,乌鲁木齐
3438A,乌鲁木齐
3439A,乌鲁木齐
3440A,乌鲁木齐
3441A,五家渠
3442A,石河子
3443A,广州
3444A,汕头
3445A,广州
3446A,广州
3447A,深圳
3448A,珠海
3449A,江门
3450A,茂名
3451A,肇庆
3452A,惠州
3453A,阳江
3454A,中山
3455A,清远
3456A,石家庄
3457A,唐山
3458A,邯郸
3459A,衡水
3460A,天津
3461A,天津
3462A,天津
3463A,宿州
3464A,合肥
3465A,芜湖
3466A,芜湖
3468A,阜阳
3469A,阜阳
3470A,宣城
3471A,郑州
3473A,开封
3474A,鹤壁
3475A,新乡
3476A,新乡
3477A,焦作
3478A,漯河
3479A,漯河
3480A,伊春
3481A,大庆
3482A,重庆
3483A,重庆
3484A,重庆
3485A,重庆
3486A,四平
3487A,成都
3488A,成都
3489A,成都
3490A,泸州
3491A,绵阳
3492A,绵阳
3494A,济南
3495A,济南
3496A,临沂
3498A,东营
3500A,济宁
3501A,济宁
3502A,泰安
3503A,泰安
3504A,泰安
3505A,威海
3507A,日照
3511A,德州
3512A,聊城
3513A,聊城
3514A,滨州
3515A,滨州
3516A,滨州
3520A,石嘴山
3521A,石嘴山
3522A,固原
3523A,银川
3524A,西安
3525A,咸阳
3526A,福州
3527A,厦门
3528A,厦门
3529A,泉州
3530A,漳州
3531A,桂林
3532A,玉林
3533A,玉林
3534A,贺州
3535A,来宾
3536A,遵义
3537A,毕节
3538A,黔南布依族苗族自治州
3539A,海口
3540A,三亚
3541A,儋州
3542A,儋州
3543A,三沙
3544A,上海
3545A,十堰
3546A,宜昌
3547A,荆门
3548A,荆州
3549A,恩施土家族苗族自治州
3550A,昆明
3551A,昆明
3552A,昆明
3557A,杭州
3558A,杭州
3560A,绍兴
3561A,温州
3562A,湖州
3564A,台州
3565A,大同
3566A,大同
3567A,大同
3568A,长治
3569A,长治
3570A,长治
3571A,朔州
3572A,石家庄
3573A,石家庄
3574A,石家庄
3575A,唐山
3576A,唐山
3577A,唐山
3578A,唐山
3579A,邯郸
3580A,邯郸
3581A,保定
3582A,保定
3583A,保定
3584A,雄安新区
3585A,雄安新区
3586A,雄安新区
3587A,雄安新区
3588A,雄安新区
3589A,雄安新区
3590A,郑州
3591A,郑州
3592A,开封
3593A,洛阳
3594A,平顶山
3596A,鹤壁
3597A,许昌
3598A,三门峡
3599A,重庆
3600A,重庆
3601A,重庆
3604A,日照
3605A,西安
3606A,西咸新区
3607A,西咸新区
3608A,西咸新区
3610A,重庆
3612A,克拉玛依
3613A,昌吉州
3614A,和田地区
3615A,和田地区
3616A,巴中
3617A,广元
3618A,太原
3619A,阳泉
3620A,晋城
3621A,乌海
3622A,韶关
3623A,深圳
3624A,汕头
3625A,佛山
3626A,东莞
3627A,东莞
3628A,云浮
3629A,西宁
3630A,西宁
3631A,石家庄
3633A,马鞍山
3634A,宿州
3635A,洛阳
3636A,洛阳
3637A,七台河
3638A,自贡
3639A,德阳
3642A,青岛
3643A,青岛
3644A,淄博
3645A,淄博
3646A,东营
3647A,菏泽
3648A,吴忠
3650A,中卫
3651A,铜川
3652A,延安
3653A,宜昌
3654A,鄂州
3655A,咸宁
3656A,杭州
3658A,绍兴
3659A,金华
3661A,太原
3662A,齐齐哈尔
3663A,大兴安岭地区
3664A,连云港
3665A,克孜勒苏柯尔克孜自治州
3667A,运城
3668A,临汾
3669A,安阳
3670A,运城
3671A,北京
3672A,北京
3673A,北京
3674A,北京
3675A,北京
3676A,大同
3677A,德宏州
3678A,济宁
3682A,济南
3683A,包头
3684A,七台河
3685A,上饶
3689A,新乡
3690A,南昌
3692A,唐山
3693A,唐山
3694A,北京
3695A,北京
3696A,北京
3697A,北京
3698A,呼和浩特
3699A,呼和浩特
3700A,雅安
3701A,宿州
3703A,安阳
3706A,通辽
3707A,鸡西
3708A,通辽
3709A,鸡西
3710A,宁波
3713A,四平
3715A,蚌埠
3719A,昌都
3726A,日喀则
3728A,宜宾
3734A,东营
